"","Covariate","n","mean","med","sd","max","sum","coef","pval","pval_txt"
"1","Full",1515,3.82579365362782,3.79940947961513,1.22827199616061,8.1565001586972,8.84153890151035,NA,NA,NA
"2","Class I",1075,3.72998718584023,3.65499102941166,1.28560241893969,7.92376196600503,8.70325255819695,3.72998718584023,1.89918180552025e-05,"<0.001"
"3","Class II",313,4.09014641234896,4.12388429346001,1.02079595924387,8.1565001586972,8.2492025584053,0.360159226508734,6.5221044341093e-06,"<0.001"
"4","Class III",119,3.95355002269746,3.97776931809157,1.07776628893171,6.42813495607894,7.03533614464414,0.223562836857226,0.0644521389863225,"0.064"
"5","None Assigned",8,4.80409742763084,4.82074578067756,0.719305100978158,5.75739678804845,5.99235377596953,NA,NA,NA
"6","beef",485,3.88380266750254,3.79525418258088,1.32581621669943,8.1565001586972,8.47540445688229,3.88380266750255,0.000506953943023036,"<0.001"
"7","mixed",485,3.78507503391925,3.78424032553751,1.23861070960411,7.92376196600503,8.40493352277891,-0.0987276335832912,0.217009409828561,"0.217"
"8","pork",203,3.53423878905621,3.55642312137129,1.03855004479665,6.42813495607894,6.92757662959493,-0.349563878446342,0.00073574230432733,"<0.001"
"9","poultry",342,3.97338476094786,4.01640598542675,1.14551105590958,7.55630251283102,8.12368171695208,0.0895820934453132,0.304838529438593,"0.305"
"10","Undeclared Allergen",332,3.88438872269039,3.89897929974642,1.02977038575803,6.95776933916209,7.54494994492525,3.8843887226904,2.05413414879084e-23,"<0.001"
"11","STEC",270,3.95590480688271,4.02073779597856,1.40207354663377,7.39794002604382,8.1036176218098,0.0715160841923178,0.466099204342657,"0.466"
"12","Extraneous Material",143,4.36675541420006,4.35183494347744,0.847863736154136,6.63622071806476,7.27276242550046,0.482366691509677,5.40191504319727e-05,"<0.001"
"13","Listeria",327,3.22558723053925,3.07151380509509,1.22559378080125,7.54406805675869,8.17422290078113,-0.658801492151141,1.84149094310546e-12,"<0.001"
"14","Other",234,3.89304935843338,3.83457502484341,1.09977632086641,8.1565001586972,8.2292491596303,0.00866063574299222,0.933276746913134,"0.933"
"15","Processing Defect",76,4.03482815282465,4.0939320658517,1.06951124828927,7.3364597538621,7.62362355297264,0.15043943013426,0.317610585318376,"0.318"
"16","Salmonella",65,4.10253669851921,4.13357084061404,1.59554064297508,7.92376196600503,8.15161397955182,0.218147975828817,0.185772321216592,"0.186"
"17","Undeclared Substance",68,4.11607719980399,4.25068830364572,1.23212491073176,6.42813495607894,7.03452353957992,0.231688477113594,0.154327916055652,"0.154"
"18","Autumn",382,3.82947415961604,3.78674933498404,1.25996991038512,7.92376196600503,8.3580162219716,3.82947415961605,0.417626958871113,"0.418"
"19","Spring",381,3.7829856168683,3.80852047340282,1.21849487746826,7.17609128800865,7.98296027791517,-0.046488542747737,0.606812353516949,"0.607"
"20","Summer",382,3.77977490888062,3.77063112777781,1.28500818769518,7.55630251283102,8.15117879834551,-0.0496992507354208,0.582956601057521,"0.583"
"21","Winter",370,3.91419503206121,3.86278709823534,1.14300991156374,8.1565001586972,8.3587986771706,0.0847208724451699,0.35329144557764,"0.353"
"22","1994",50,3.97830573272466,3.95853802471963,0.99880160911906,6.13748102583293,6.68111464017992,3.97830573272466,0.000174580789284834,"<0.001"
"23","1995",42,3.99754913043185,3.92433098470868,1.13693583962297,6.49992409324442,6.75232569284491,0.019243397707198,0.940920272568692,"0.941"
"24","1996",24,3.73520604481344,3.47147129578485,0.991444490800302,5.60206107706281,5.99767770962199,-0.243099687911217,0.420598416129644,"0.421"
"25","1997",27,4.13201097634928,4.14615905560482,1.30310926604441,7.39794002604382,7.44947822948078,0.153705243624616,0.596445605452776,"0.596"
"26","1998",44,4.40280092859694,4.2346084156759,1.25129595917771,7.54406805675869,7.66313869195211,0.424495195872282,0.0912426951284958,"0.091"
"27","1999",62,3.66033588339961,3.5919864157385,1.32376679394563,7.54406805675869,7.60128297354068,-0.317969849325053,0.168831898928208,"0.169"
"28","2000",85,3.61912336118286,3.63356944255409,1.2686138155097,7.22271649715324,7.35252647821115,-0.359182371541798,0.09892952242274,"0.099"
"29","2001",97,3.87231171331414,3.74826557266874,1.36347319130479,7.16435288553063,7.50262148472223,-0.10599401941052,0.618981531355637,"0.619"
"30","2002",125,3.40435351302968,3.24079877111733,1.37271011722243,7.44715804685274,7.76672256560325,-0.573952219694988,0.00525004374255577,"0.005"
"31","2003",68,3.73348135809655,3.83139577242123,1.09021815734986,5.86864502607302,6.51657820630779,-0.244824374628113,0.28595008640864,"0.286"
"32","2004",49,4.04776879655303,4.4872939349832,1.11006471330208,5.69635726256441,6.45914918455032,0.0694630638283712,0.779670065150183,"0.78"
"33","2005",53,3.852302217905,3.75137577256656,1.16827956602547,6.44715818644736,6.80930586435158,-0.12600351481966,0.600689893872544,"0.601"
"34","2006",34,3.70398502982488,3.7703216337248,1.28757639799983,6.63622071806476,6.77436606780315,-0.274320702899782,0.310003040961118,"0.31"
"35","2007",58,4.25641957295443,4.11715281996698,1.39879386914028,7.92376196600503,8.15552982319225,0.278113840229777,0.235825252730489,"0.236"
"36","2008",54,4.00302884443039,3.93959603096049,1.42909820442382,8.1565001586972,8.18956515918093,0.0247231117057309,0.918199066358107,"0.918"
"37","2009",69,4.00511396195769,3.98193993692943,1.18686961248697,6.42813495607894,6.97720506824678,0.0268082292330317,0.905749421182282,"0.906"
"38","2010",70,4.09053203938734,4.1194924642644,1.27041371408226,7.17609128800865,7.5330332313197,0.112226306662689,0.620147973640695,"0.62"
"39","2011",103,3.68302490287571,3.67033864112744,1.13764371903675,7.55630251283102,7.59881587450845,-0.295280829848943,0.162996981429494,"0.163"
"40","2012",82,3.68283947459958,3.61288976928748,0.937713497762971,6.24762986623739,6.54096918102369,-0.295466258125068,0.176596147989031,"0.177"
"41","2013",75,3.84517864336321,3.79000352039049,1.00426656120519,7.02118934043132,7.11716466492882,-0.133127089361444,0.55073541466297,"0.551"
"42","2014",94,3.94071426074928,4.0174388587163,1.22382668585857,6.94164562578968,7.27126298253114,-0.0375914719753763,0.86026168928025,"0.86"
"43","2015",150,3.64839564787042,3.60105991391725,1.17799176964954,6.95776933916209,7.32302709592215,-0.329910084854239,0.0977564245010915,"0.098"
